Axis,Line Label,X,Y,Marker,Marker Size,Marker Face Color,Marker Edge Color
Axes 1,$69.3 < \lambda \leq 140$,-51.667559118236454,0.09546195053993208,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-48.06284569138279,0.10183343638180056,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-44.45813226452901,0.1083529968165546,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-40.85341883767535,0.11497281288680919,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-37.248705410821685,0.12165621364277865,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-33.64399198396791,0.12838051103629458,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-30.039278557114244,0.13513795287219668,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-26.43456513026058,0.14193474852955548,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-22.829851703406803,0.14878844837250943,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-19.22513827655314,0.15572423218598846,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-15.620424849699361,0.1627708361864026,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-12.015711422845698,0.16995689234942205,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-8.410997995992034,0.17730836009422937,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-4.806284569138256,0.18484751267738325,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-1.2015711422845925,0.1925936321192374,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,2.403142284569185,0.2005652155551968,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,6.007855711422849,0.20878316136862313,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,9.612569138276513,0.217274148022532,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,13.21728256513029,0.22607329998968992,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,16.821995991983954,0.23522529514371188,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,20.42670941883773,0.2447833189746418,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,24.031422845691395,0.2548056858527998,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,27.63613627254506,0.2653504554687548,None,6.0,#FFA600,#FFA600
